index,Date,Region,Thermal Generation Actual (in MW),Thermal Generation Estimated (in MW),Nuclear Generation Actual (in MW),Nuclear Generation Estimated (in MW),Hydro Generation Actual (in MW),Hydro Generation Estimated (in MW)
1,1/9/2017,Northern,624.23,484.21,30.36,35.57,273.27,320.81
2,1/9/2017,Western,"1,106.89","1,024.33",25.17,3.81,72,21.53
3,1/9/2017,Southern,576.66,578.55,62.73,49.8,111.57,64.78
4,1/9/2017,Eastern,441.02,429.39,,,85.94,69.36
5,1/9/2017,NorthEastern,29.11,15.91,,,24.64,21.21
6,2/9/2017,Northern,624.23,507.42,30.36,35.69,273.27,317.19
7,2/9/2017,Western,"1,106.89","1,050.91",25.17,3.83,72,23.97
8,2/9/2017,Southern,576.66,562.79,62.73,52.76,111.57,59.49
9,2/9/2017,Eastern,441.02,425.75,,,85.94,74.18
10,2/9/2017,NorthEastern,29.11,16.5,,,24.64,20.81
11,3/9/2017,Northern,624.23,492.69,30.36,35.65,273.27,316.69
12,3/9/2017,Western,"1,106.89","1,066.73",25.17,3.8,72,13.94
13,3/9/2017,Southern,572.16,530.68,62.73,53.12,111.57,47.53
14,3/9/2017,Eastern,445.38,427.61,,,85.94,71.05
15,3/9/2017,NorthEastern,29.11,15.52,,,24.64,23.84
16,4/9/2017,Northern,624.23,568.34,30.36,35.62,273.27,297.47
17,4/9/2017,Western,"1,106.89","1,115.43",25.17,3.81,72,37.38
18,4/9/2017,Southern,572.16,562.81,62.73,53.19,111.57,66.2
19,4/9/2017,Eastern,445.38,450.85,,,85.94,75.21
20,4/9/2017,NorthEastern,29.11,16.85,,,24.64,24.1
21,5/9/2017,Northern,628.58,597.08,30.36,35.72,273.27,290.23
22,5/9/2017,Western,"1,106.89","1,131.78",25.17,3.83,72,28.78
23,5/9/2017,Southern,576.35,575.06,62.73,53.16,111.57,58
24,5/9/2017,Eastern,449.92,459.09,,,85.94,70.29
25,5/9/2017,NorthEastern,29.11,16.64,,,24.64,22.86
26,6/9/2017,Northern,628.58,628.93,30.36,35.86,273.27,296.1
27,6/9/2017,Western,"1,124.57","1,171.82",25.17,3.84,72,40.94
28,6/9/2017,Southern,576.35,549.1,62.73,53.41,111.57,58.7
29,6/9/2017,Eastern,449.92,464.82,,,85.94,76.43
30,6/9/2017,NorthEastern,29.11,16.44,,,24.64,27.8
31,7/9/2017,Northern,628.48,651.03,30.36,35.86,273.27,298.57
32,7/9/2017,Western,"1,124.57","1,180.30",25.17,3.82,72,48.25
33,7/9/2017,Southern,585.98,565.52,62.73,53.41,111.57,55.52
34,7/9/2017,Eastern,449.92,461.96,,,85.94,75.34
35,7/9/2017,NorthEastern,29.11,20.71,,,24.64,24.12
36,8/9/2017,Northern,628.48,689.88,30.36,35.68,273.27,289.16
37,8/9/2017,Western,"1,124.57","1,189.75",25.17,3.83,72,35.86
38,8/9/2017,Southern,590.63,549.88,62.73,53.65,111.57,66.92
39,8/9/2017,Eastern,455.66,454.88,,,85.94,81.48
40,8/9/2017,NorthEastern,29.11,20.85,,,24.64,24.32
41,9/9/2017,Northern,631.16,717.43,30.36,35.58,273.27,278.05
42,9/9/2017,Western,"1,128.66","1,204.61",25.17,3.87,72,38.57
43,9/9/2017,Southern,589.74,549.44,62.73,53.78,111.57,72.25
44,9/9/2017,Eastern,455.66,455.25,,,85.94,80.46
45,9/9/2017,NorthEastern,29.11,18.92,,,24.64,24.94
46,10/9/2017,Northern,620.05,729.84,30.36,35.72,273.27,275.4
47,10/9/2017,Western,"1,131.56","1,218.51",25.17,3.84,72,33.9
48,10/9/2017,Southern,589.74,548.38,62.73,54.52,111.57,51.99
49,10/9/2017,Eastern,455.66,432.59,,,85.94,72.65
