index,Date,Region,Thermal Generation Actual (in MW),Thermal Generation Estimated (in MW),Nuclear Generation Actual (in MW),Nuclear Generation Estimated (in MW),Hydro Generation Actual (in MW),Hydro Generation Estimated (in MW)
606,1/1/2018,Northern,626.60,625.16,30.31,32.09,96.18,110.00
607,1/1/2018,Western,1127.88,1152.31,25.19,26.14,41.22,19.88
608,1/1/2018,Southern,638.77,556.72,45.38,72.80,70.04,42.45
609,1/1/2018,Eastern,478.58,435.94,,,21.76,21.87
610,1/1/2018,NorthEastern,31.88,35.76,,,11.28,8.56
611,2/1/2018,Northern,624.00,621.78,30.31,32.07,96.18,113.94
612,2/1/2018,Western,1127.88,1194.53,25.19,26.14,41.22,18.46
613,2/1/2018,Southern,635.44,569.41,45.38,76.08,70.04,51.42
614,2/1/2018,Eastern,476.31,454.95,,,21.76,19.36
615,2/1/2018,NorthEastern,31.88,36.26,,,11.28,8.66
616,3/1/2018,Northern,624.00,637.94,30.31,32.09,96.18,113.87
617,3/1/2018,Western,1127.88,1202.38,25.19,26.14,41.22,23.30
618,3/1/2018,Southern,635.44,580.01,45.38,76.17,70.04,49.04
619,3/1/2018,Eastern,476.31,465.11,,,21.76,18.29
620,3/1/2018,NorthEastern,31.88,36.06,,,11.28,8.17
621,4/1/2018,Northern,626.50,636.89,30.31,31.66,96.18,111.65
622,4/1/2018,Western,1127.88,1228.55,25.19,26.14,41.22,25.78
623,4/1/2018,Southern,635.44,577.00,45.38,75.21,70.04,51.68
624,4/1/2018,Eastern,476.31,470.32,,,21.76,21.19
625,4/1/2018,NorthEastern,31.88,35.25,,,11.28,8.34
626,5/1/2018,Northern,629.13,641.63,30.31,32.18,96.18,110.03
627,5/1/2018,Western,1127.88,1248.63,25.19,26.20,41.22,25.89
628,5/1/2018,Southern,635.44,583.69,45.38,76.49,70.04,47.20
629,5/1/2018,Eastern,476.31,469.49,,,21.76,24.36
630,5/1/2018,NorthEastern,31.88,30.75,,,11.28,8.43
631,6/1/2018,Northern,629.13,635.57,30.31,32.17,96.18,109.72
632,6/1/2018,Western,1117.67,1229.47,25.19,26.18,41.22,29.69
633,6/1/2018,Southern,636.90,592.77,45.38,76.64,70.04,52.58
634,6/1/2018,Eastern,480.54,448.04,,,21.76,23.10
635,6/1/2018,NorthEastern,31.88,30.47,,,11.28,8.33
636,7/1/2018,Northern,629.13,626.33,30.31,32.23,96.18,108.45
637,7/1/2018,Western,1114.84,1191.88,25.19,26.14,41.22,19.03
638,7/1/2018,Southern,636.90,556.09,45.38,76.59,70.04,43.33
639,7/1/2018,Eastern,480.54,438.99,,,21.76,21.02
640,7/1/2018,NorthEastern,31.88,33.04,,,11.28,8.03
641,8/1/2018,Northern,626.22,653.82,30.31,32.20,96.18,108.83
642,8/1/2018,Western,1114.84,1211.40,25.19,26.13,41.22,21.75
643,8/1/2018,Southern,636.90,565.57,45.38,72.19,70.04,47.98
644,8/1/2018,Eastern,480.54,451.27,,,21.76,21.11
645,8/1/2018,NorthEastern,31.88,33.83,,,11.28,8.84
646,9/1/2018,Northern,626.22,661.38,30.31,32.18,96.18,106.69
647,9/1/2018,Western,1114.84,1209.28,25.19,26.17,41.22,20.14
648,9/1/2018,Southern,640.68,581.51,45.38,65.15,70.04,44.86
649,9/1/2018,Eastern,494.84,460.03,,,21.76,23.00
650,9/1/2018,NorthEastern,31.88,34.13,,,11.28,8.61
651,10/1/2018,Northern,626.22,664.85,30.31,32.05,96.18,106.63
652,10/1/2018,Western,1109.51,1222.02,25.19,26.17,41.22,23.52
653,10/1/2018,Southern,636.85,574.20,45.38,65.06,70.04,46.91
654,10/1/2018,Eastern,494.84,463.60,,,21.76,19.18
655,10/1/2018,NorthEastern,31.88,34.24,,,11.28,8.28
656,11/1/2018,Northern,626.22,663.06,30.31,32.22,96.18,108.06
657,11/1/2018,Western,1115.41,1232.97,25.19,26.19,41.22,27.82
658,11/1/2018,Southern,636.85,583.78,45.38,65.01,70.04,59.76
659,11/1/2018,Eastern,494.40,453.23,,,21.76,25.26
660,11/1/2018,NorthEastern,31.88,32.43,,,11.28,8.37
661,12/1/2018,Northern,626.22,678.76,30.31,32.29,96.18,107.38
662,12/1/2018,Western,1115.41,1239.85,25.19,26.10,41.22,29.04
663,12/1/2018,Southern,636.85,588.67,45.38,65.91,70.04,66.23
664,12/1/2018,Eastern,494.40,456.59,,,21.76,25.64
665,12/1/2018,NorthEastern,31.88,32.81,,,11.28,8.15
666,13/1/2018,Northern,626.22,670.85,30.31,32.18,96.18,104.50
667,13/1/2018,Western,1125.62,1252.84,25.19,26.12,41.22,26.26
668,13/1/2018,Southern,636.85,570.54,45.38,68.55,70.04,57.51
669,13/1/2018,Eastern,494.40,475.49,,,21.76,27.84
670,13/1/2018,NorthEastern,31.88,32.63,,,11.28,8.22
671,14/1/2018,Northern,626.22,631.14,30.31,32.17,96.18,101.56
672,14/1/2018,Western,1125.62,1177.90,25.19,26.12,41.22,27.64
