index,Date,Region,Thermal Generation Actual (in MW),Thermal Generation Estimated (in MW),Thermal Generation Estimation Error,Nuclear Generation Actual (in MW),Nuclear Generation Estimated (in MW),Nuclear Generation Estimation Error,Hydro Generation Actual (in MW),Hydro Generation Estimated (in MW),Hydro Generation Estimation Error
606,1/1/2018,Northern,626.6,625.16,-1.44,30.31,32.09,1.78,96.18,110,13.82
607,1/1/2018,Western,1127.88,1152.31,24.43,25.19,26.14,0.95,41.22,19.88,-21.34
608,1/1/2018,Southern,638.77,556.72,-82.05,45.38,72.8,27.42,70.04,42.45,-27.59
609,1/1/2018,Eastern,478.58,435.94,-42.64,,,0,21.76,21.87,0.11
610,1/1/2018,NorthEastern,31.88,35.76,3.88,,,0,11.28,8.56,-2.72
611,2/1/2018,Northern,624,621.78,-2.22,30.31,32.07,1.76,96.18,113.94,17.76
612,2/1/2018,Western,1127.88,1194.53,66.65,25.19,26.14,0.95,41.22,18.46,-22.76
613,2/1/2018,Southern,635.44,569.41,-66.03,45.38,76.08,30.7,70.04,51.42,-18.62
614,2/1/2018,Eastern,476.31,454.95,-21.36,,,0,21.76,19.36,-2.4
615,2/1/2018,NorthEastern,31.88,36.26,4.38,,,0,11.28,8.66,-2.62
616,3/1/2018,Northern,624,637.94,13.94,30.31,32.09,1.78,96.18,113.87,17.69
617,3/1/2018,Western,1127.88,1202.38,74.5,25.19,26.14,0.95,41.22,23.3,-17.92
618,3/1/2018,Southern,635.44,580.01,-55.43,45.38,76.17,30.79,70.04,49.04,-21
619,3/1/2018,Eastern,476.31,465.11,-11.2,,,0,21.76,18.29,-3.47
620,3/1/2018,NorthEastern,31.88,36.06,4.18,,,0,11.28,8.17,-3.11
621,4/1/2018,Northern,626.5,636.89,10.39,30.31,31.66,1.35,96.18,111.65,15.47
622,4/1/2018,Western,1127.88,1228.55,100.67,25.19,26.14,0.95,41.22,25.78,-15.44
623,4/1/2018,Southern,635.44,577,-58.44,45.38,75.21,29.83,70.04,51.68,-18.36
624,4/1/2018,Eastern,476.31,470.32,-5.99,,,0,21.76,21.19,-0.57
625,4/1/2018,NorthEastern,31.88,35.25,3.37,,,0,11.28,8.34,-2.94
626,5/1/2018,Northern,629.13,641.63,12.5,30.31,32.18,1.87,96.18,110.03,13.85
627,5/1/2018,Western,1127.88,1248.63,120.75,25.19,26.2,1.01,41.22,25.89,-15.33
628,5/1/2018,Southern,635.44,583.69,-51.75,45.38,76.49,31.11,70.04,47.2,-22.84
629,5/1/2018,Eastern,476.31,469.49,-6.82,,,0,21.76,24.36,2.6
630,5/1/2018,NorthEastern,31.88,30.75,-1.13,,,0,11.28,8.43,-2.85
631,6/1/2018,Northern,629.13,635.57,6.44,30.31,32.17,1.86,96.18,109.72,13.54
632,6/1/2018,Western,1117.67,1229.47,111.8,25.19,26.18,0.99,41.22,29.69,-11.53
633,6/1/2018,Southern,636.9,592.77,-44.13,45.38,76.64,31.26,70.04,52.58,-17.46
634,6/1/2018,Eastern,480.54,448.04,-32.5,,,0,21.76,23.1,1.34
635,6/1/2018,NorthEastern,31.88,30.47,-1.41,,,0,11.28,8.33,-2.95
636,7/1/2018,Northern,629.13,626.33,-2.8,30.31,32.23,1.92,96.18,108.45,12.27
637,7/1/2018,Western,1114.84,1191.88,77.04,25.19,26.14,0.95,41.22,19.03,-22.19
638,7/1/2018,Southern,636.9,556.09,-80.81,45.38,76.59,31.21,70.04,43.33,-26.71
639,7/1/2018,Eastern,480.54,438.99,-41.55,,,0,21.76,21.02,-0.74
640,7/1/2018,NorthEastern,31.88,33.04,1.16,,,0,11.28,8.03,-3.25
641,8/1/2018,Northern,626.22,653.82,27.6,30.31,32.2,1.89,96.18,108.83,12.65
642,8/1/2018,Western,1114.84,1211.4,96.56,25.19,26.13,0.94,41.22,21.75,-19.47
643,8/1/2018,Southern,636.9,565.57,-71.33,45.38,72.19,26.81,70.04,47.98,-22.06
644,8/1/2018,Eastern,480.54,451.27,-29.27,,,0,21.76,21.11,-0.65
645,8/1/2018,NorthEastern,31.88,33.83,1.95,,,0,11.28,8.84,-2.44
646,9/1/2018,Northern,626.22,661.38,35.16,30.31,32.18,1.87,96.18,106.69,10.51
647,9/1/2018,Western,1114.84,1209.28,94.44,25.19,26.17,0.98,41.22,20.14,-21.08
648,9/1/2018,Southern,640.68,581.51,-59.17,45.38,65.15,19.77,70.04,44.86,-25.18
649,9/1/2018,Eastern,494.84,460.03,-34.81,,,0,21.76,23,1.24
650,9/1/2018,NorthEastern,31.88,34.13,2.25,,,0,11.28,8.61,-2.67
651,10/1/2018,Northern,626.22,664.85,38.63,30.31,32.05,1.74,96.18,106.63,10.45
652,10/1/2018,Western,1109.51,1222.02,112.51,25.19,26.17,0.98,41.22,23.52,-17.7
653,10/1/2018,Southern,636.85,574.2,-62.65,45.38,65.06,19.68,70.04,46.91,-23.13
654,10/1/2018,Eastern,494.84,463.6,-31.24,,,0,21.76,19.18,-2.58
655,10/1/2018,NorthEastern,31.88,34.24,2.36,,,0,11.28,8.28,-3
656,11/1/2018,Northern,626.22,663.06,36.84,30.31,32.22,1.91,96.18,108.06,11.88
657,11/1/2018,Western,1115.41,1232.97,117.56,25.19,26.19,1,41.22,27.82,-13.4
658,11/1/2018,Southern,636.85,583.78,-53.07,45.38,65.01,19.63,70.04,59.76,-10.28
659,11/1/2018,Eastern,494.4,453.23,-41.17,,,0,21.76,25.26,3.5
660,11/1/2018,NorthEastern,31.88,32.43,0.55,,,0,11.28,8.37,-2.91
661,12/1/2018,Northern,626.22,678.76,52.54,30.31,32.29,1.98,96.18,107.38,11.2
662,12/1/2018,Western,1115.41,1239.85,124.44,25.19,26.1,0.91,41.22,29.04,-12.18
663,12/1/2018,Southern,636.85,588.67,-48.18,45.38,65.91,20.53,70.04,66.23,-3.81
664,12/1/2018,Eastern,494.4,456.59,-37.81,,,0,21.76,25.64,3.88
665,12/1/2018,NorthEastern,31.88,32.81,0.93,,,0,11.28,8.15,-3.13
666,13/1/2018,Northern,626.22,670.85,44.63,30.31,32.18,1.87,96.18,104.5,8.32
667,13/1/2018,Western,1125.62,1252.84,127.22,25.19,26.12,0.93,41.22,26.26,-14.96
668,13/1/2018,Southern,636.85,570.54,-66.31,45.38,68.55,23.17,70.04,57.51,-12.53
669,13/1/2018,Eastern,494.4,475.49,-18.91,,,0,21.76,27.84,6.08
670,13/1/2018,NorthEastern,31.88,32.63,0.75,,,0,11.28,8.22,-3.06
671,14/1/2018,Northern,626.22,631.14,4.92,30.31,32.17,1.86,96.18,101.56,5.38
672,14/1/2018,Western,1125.62,1177.9,52.28,25.19,26.12,0.93,41.22,27.64,-13.58
673,14/1/2018,Southern,636.85,497.81,-139.04,45.38,70.92,25.54,70.04,43.51,-26.53
674,14/1/2018,Eastern,494.4,460.84,-33.56,,,0,21.76,24.24,2.48
675,14/1/2018,NorthEastern,31.88,32.51,0.63,,,0,11.28,8.04,-3.24
676,15/1/2018,Northern,626.22,647.56,21.34,30.31,31.98,1.67,96.18,105.38,9.2
677,15/1/2018,Western,1125.62,1177.74,52.12,25.19,26.12,0.93,41.22,34.85,-6.37
678,15/1/2018,Southern,636.85,499.73,-137.12,45.38,68.35,22.97,70.04,55.61,-14.43
