index,Date,Region,Thermal Generation Actual (in MW),Thermal Generation Estimated (in MW),Thermal Generation Estimation Error
606,1/1/2018,Northern,626.6,625.16,-1.44
607,1/1/2018,Western,1127.88,1152.31,24.43
608,1/1/2018,Southern,638.77,556.72,-82.05
609,1/1/2018,Eastern,478.58,435.94,-42.64
610,1/1/2018,NorthEastern,31.88,35.76,3.88
611,2/1/2018,Northern,624,621.78,-2.22
612,2/1/2018,Western,1127.88,1194.53,66.65
613,2/1/2018,Southern,635.44,569.41,-66.03
614,2/1/2018,Eastern,476.31,454.95,-21.36
615,2/1/2018,NorthEastern,31.88,36.26,4.38
616,3/1/2018,Northern,624,637.94,13.94
617,3/1/2018,Western,1127.88,1202.38,74.5
618,3/1/2018,Southern,635.44,580.01,-55.43
619,3/1/2018,Eastern,476.31,465.11,-11.2
620,3/1/2018,NorthEastern,31.88,36.06,4.18
621,4/1/2018,Northern,626.5,636.89,10.39
622,4/1/2018,Western,1127.88,1228.55,100.67
623,4/1/2018,Southern,635.44,577,-58.44
624,4/1/2018,Eastern,476.31,470.32,-5.99
625,4/1/2018,NorthEastern,31.88,35.25,3.37
626,5/1/2018,Northern,629.13,641.63,12.5
627,5/1/2018,Western,1127.88,1248.63,120.75
628,5/1/2018,Southern,635.44,583.69,-51.75
629,5/1/2018,Eastern,476.31,469.49,-6.82
630,5/1/2018,NorthEastern,31.88,30.75,-1.13
631,6/1/2018,Northern,629.13,635.57,6.44
632,6/1/2018,Western,1117.67,1229.47,111.8
633,6/1/2018,Southern,636.9,592.77,-44.13
634,6/1/2018,Eastern,480.54,448.04,-32.5
635,6/1/2018,NorthEastern,31.88,30.47,-1.41
636,7/1/2018,Northern,629.13,626.33,-2.8
637,7/1/2018,Western,1114.84,1191.88,77.04
638,7/1/2018,Southern,636.9,556.09,-80.81
639,7/1/2018,Eastern,480.54,438.99,-41.55
640,7/1/2018,NorthEastern,31.88,33.04,1.16
641,8/1/2018,Northern,626.22,653.82,27.6
642,8/1/2018,Western,1114.84,1211.4,96.56
643,8/1/2018,Southern,636.9,565.57,-71.33
644,8/1/2018,Eastern,480.54,451.27,-29.27
645,8/1/2018,NorthEastern,31.88,33.83,1.95
646,9/1/2018,Northern,626.22,661.38,35.16
647,9/1/2018,Western,1114.84,1209.28,94.44
648,9/1/2018,Southern,640.68,581.51,-59.17
649,9/1/2018,Eastern,494.84,460.03,-34.81
650,9/1/2018,NorthEastern,31.88,34.13,2.25
651,10/1/2018,Northern,626.22,664.85,38.63
